MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5040,2.10404E+14,110010001003012,11,1,100,3,3012,3012,Block 3012,BK,S,86,38,19131,,U,38.9080436,-77.0624579,38.9080436,-77.0624579
G5040,2.10404E+14,110010001004000,11,1,100,4,4000,4000,Block 4000,BK,S,53,26,8547,,U,38.9072713,-77.0576016,38.9072713,-77.0576016
G5040,2.10404E+14,110010001004001,11,1,100,4,4001,4001,Block 4001,BK,S,72,42,8415,,U,38.9072577,-77.0586637,38.9072577,-77.0586637
G5040,2.10404E+14,110010001004002,11,1,100,4,4002,4002,Block 4002,BK,S,86,50,16092,,U,38.9072384,-77.0602068,38.9072384,-77.0602068
G5040,2.10404E+14,110010001004003,11,1,100,4,4003,4003,Block 4003,BK,S,83,42,15879,,U,38.9072282,-77.0622309,38.9072282,-77.0622309
G5040,2.10404E+14,110010001004004,11,1,100,4,4004,4004,Block 4004,BK,S,78,51,13561,,U,38.9063284,-77.0621948,38.9063284,-77.0621948
G5040,2.10404E+14,110010001004005,11,1,100,4,4005,4005,Block 4005,BK,S,86,47,31650,,U,38.9060174,-77.0601874,38.9060174,-77.0601874
G5040,2.10404E+14,110010001004006,11,1,100,4,4006,4006,Block 4006,BK,S,68,38,7811,,U,38.9064574,-77.058653,38.9064574,-77.058653
G5040,2.10404E+14,110010001004007,11,1,100,4,4007,4007,Block 4007,BK,S,52,30,8021,,U,38.9064673,-77.0575907,38.9064673,-77.0575907
G5040,2.10404E+14,110010001004008,11,1,100,4,4008,4008,Block 4008,BK,S,50,30,8715,,U,38.9056614,-77.0575737,38.9056614,-77.0575737
G5040,2.10404E+14,110010001004009,11,1,100,4,4009,4009,Block 4009,BK,S,52,34,8585,,U,38.9056489,-77.0586435,38.9056489,-77.0586435
G5040,2.10404E+14,110010001004010,11,1,100,4,4010,4010,Block 4010,BK,S,,,11592,,U,38.9046567,-77.058611,38.9046567,-77.058611
G5040,2.10404E+14,110010001004011,11,1,100,4,4011,4011,Block 4011,BK,S,17,12,10053,,U,38.9046897,-77.0596416,38.9046897,-77.0596416
